City,Latitude,Longitude
Daugavpils,55.8712267,26.5159337
La Rochelle,46.1591126,-1.1520434
Rotterdam,51.9244424,4.47775
Madrid,40.4167047,-3.7035825
Civaux,46.4448144,0.6646452
Kouvola,60.8680928,26.7038517
Golfech,44.1147222,0.8519444
Amsterdam,52.3730796,4.8924534
Bergen,60.3943055,5.3259192
Santander,43.4620412,-3.8099719
Lisboa,38.7077507,-9.1365919
Kotka,60.4674228,26.9450844
Olhão,37.0646943,-7.8112903973220735
Tampere,61.4980214,23.7603118
Hannover,52.3744779,9.7385532
Innsbruck,47.2654296,11.3927685
Faro,37.0162727,-7.9351771
Oslo,59.9133301,10.7389701
Bordeaux,44.841225,-0.5800364
Nantes,47.2186371,-1.5541362
Helsinki,60.1674881,24.9427473
Lyon,45.7578137,4.8320114
